source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id
Eseye,Company,DEVELOPED,Managed IoT Connectivity Services,Technology,7a5d5318675abc95f53b::c0000,2023-02-01,Eseye a pioneer of integrated cellular IoT connectivity solutions today announced that it has been positioned by Gartner® as a Visionary in the 2023 Magic Quadrant™ for Managed IoT Connectivity Services.,1.0,Eseye,Managed IoT Connectivity Services,eseye,managed iot connectivity services,4e6f9fe45c4adf265a59193c,3b25612b98c8bd91cc2a58f8
KPI Solutions,Company,LEADS,Chris Barber,Person,ab1d771b4619c4a10e5a::c0000,2023-06-05,Chris Barber leads the eastern regional team,1.0,KPI Solutions,Chris Barber,kpi solutions,chris barber,21e0d35766002eb219dfff1c,1fe1f5f8dfcd0769f305a49e
Synopsys,Company,PARTNERED_WITH,TSMC,Company,f97319155372aaf4ff0d::c0000,2023-05-02,Synopsys has recently announced its collaboration with TSMC,1.0,Synopsys,TSMC,synopsys,tsmc,24efe6cedc09a12ec8c3eff2,b29c72c5ba125a5a8487a987
Celonis,Company,PARTNERED_WITH,Tech Mahindra,Company,f58908ba6f80b8ed6e3c::c0000,2023-02-16,Celonis and Tech Mahindra have also embarked on a journey to co-create solutions,1.0,Celonis,Tech Mahindra,celonis,tech mahindra,e7b9ce85679e67e4987de9fc,33f6e8626ddd6a18bc9f375c
KKR,Company,INVESTED_IN,CoolIT Systems,Company,15499a6ad60f9ef2500b::c0000,2023-05-02,Investment firm will acquire CoolIT Systems,1.0,KKR,CoolIT Systems,kkr,coolit systems,f6803bf97b67b8136092162e,25ec7af740b0f9819e7aef00
Syzygy Plasmonics,Company,PARTNERED_WITH,Emerson,Company,a75590d21e68cf765c79::c0000,2023-05-15,Syzygy Plasmonics Selects Emerson to Automate Electrification,1.0,Syzygy Plasmonics,Emerson,syzygy plasmonics,emerson,d8f7aec3e77bc45490b0e2b3,eacca437b414d8785e48c335
IFI Techsolutions,Company,WORKED_AT,Microsoft,Company,f2a20c3f98c3fb8dc3cc::c0000,2023-05-15,As a global Microsoft partner IFI Techsolutions continues to verify its excellence,1.0,IFI Techsolutions,Microsoft,ifi techsolutions,microsoft,c235cd69d150215d16d7f65c,fb0f4df56fab164ec48722f0
Leo Howell,Person,WORKED_AT,Institute,Company,e2d62731f2691c8351bb::c0000,2023-06-12,Leo Howell will join the president’s cabinet as the interim vice president for Information Technology and chief information officer for the Institute.,1.0,Leo Howell,Institute,leo howell,institute,a81eda249baf7e2917610449,e6147bda8b0fc46012e1c668
Smart Eye,Company,DEVELOPED,Driver Monitoring System (DMS),Technology,452645a488a55910006f::c0000,2023-06-26,Smart Eye the leading developer of Driver Monitoring System (DMS) technology to the automotive industry today announced it has signed a breakthrough.,1.0,Smart Eye,Driver Monitoring System (DMS),smart eye,driver monitoring system dms,e37bc65aed41709c8353685f,2bbaef5864a002c77d9f63ef
Polso™,Technology,DEVELOPED,Remote Patient Monitoring (RPM),Technology,302c68cfcdef99cf0eb7::c0000,2022-12-06,Polso™ the company's Remote Patient Monitoring (RPM) solution achieving 510(k) clearance from the U.S. Food and Drug Administration (FDA).,1.0,Polso™,Remote Patient Monitoring (RPM),polsotm,remote patient monitoring rpm,6ba30c03cb92158109670561,addb75e20c11113648bdde3e
Microsoft,Company,PARTNERED_WITH,Viasat,Company,33f76af2d7f1afee070c::c0000,2022-12-14,Microsoft and Viasat announce new partnership to deliver internet access to underserved communities globally.,1.0,Microsoft,Viasat,microsoft,viasat,fb0f4df56fab164ec48722f0,8337d607b5922d39eaef7cbf
Data Innovations,Company,DEVELOPED,Instrument Manager™ 2023,Technology,b79a700c32d38dfbb808::c0000,2023-07-20,Data Innovations Announces New Generation of Lab Productivity Software with Instrument Manager™ 2023.,1.0,Data Innovations,Instrument Manager™ 2023,data innovations,instrument managertm 2023,d1d5228ccdd34442e78ad18b,e1578cf316bae243cea76384
Vishnu Sundaram,Person,WORKED_AT,Stellantis,Company,27fac80a97eee4ee8fde::c0000,2023-08-05,Vishnu Sundaram is leaving Vishnu Sundaram's job as Stellantis senior vice president of cockpit and connected services.,1.0,Vishnu Sundaram,Stellantis,vishnu sundaram,stellantis,e282fe9e82f2fcc852a0966e,00b6c835385fb8530abe1bec
Dubai Electricity and Water Authority (DEWA),Company,USES,ChatGPT technology,Technology,ebe57b3790f81ceb3734::c0000,2023-02-09,DEWA is the first utility in the world to enrich its services with ChatGPT technology.,1.0,Dubai Electricity and Water Authority (DEWA),ChatGPT technology,dubai electricity and water authority dewa,chatgpt technology,3dd9311b8177d43b1bfe516c,1d918de55594c719d8f248a6
Saeed Mohammed Al Tayer,Person,WORKED_AT,Dubai Electricity and Water Authority (DEWA),Company,ebe57b3790f81ceb3734::c0000,2023-02-09,Saeed Mohammed Al Tayer MD & CEO of Dubai Electricity and Water Authority (DEWA) announced that DEWA is working to enrich its services with ChatGPT technology supported by Microsoft.,1.0,Saeed Mohammed Al Tayer,Dubai Electricity and Water Authority (DEWA),saeed mohammed al tayer,dubai electricity and water authority dewa,45084d0a9856730ba0a063de,3dd9311b8177d43b1bfe516c
L&T Technology Services,Company,PARTNERED_WITH,Qualcomm,Company,566e41efa663f190cf11::c0000,2023-02-23,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0,L&T Technology Services,Qualcomm,l t technology services,qualcomm,7b29988cfc0dac3059f47a0e,261c78e541bbb8921217639a
Thales,Company,PARTNERED_WITH,L&T Technology Services,Company,566e41efa663f190cf11::c0000,2023-02-23,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0,Thales,L&T Technology Services,thales,l t technology services,110cfb16be66531da841ce26,7b29988cfc0dac3059f47a0e
Apogee,Company,ACQUIRED,Cumulus Technology Services,Company,8558ae812cf7531af5ad::c0000,2022-12-16,Apogee Acquires Cumulus Technology Services.,1.0,Apogee,Cumulus Technology Services,apogee,cumulus technology services,3c87300af0e49ba7418681e9,4228e68d1cf8a43db4fae2e8
Start Campus,Company,PARTNERED_WITH,Colt Technology Services,Company,0dada0b4eeb22de7f0e3::c0000,2023-09-26,Start Campus Announces Partnership with Colt Technology Services.,1.0,Start Campus,Colt Technology Services,start campus,colt technology services,fe5cfbe9404d65edc9972494,915dcfd177654bf97050f5f7
L&T Technology Services,Company,PARTNERED_WITH,Qualcomm,Company,aae0cde6aa5936507114::c0000,2023-02-23,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks.,1.0,L&T Technology Services,Qualcomm,l t technology services,qualcomm,7b29988cfc0dac3059f47a0e,261c78e541bbb8921217639a
Raleon,Company,FOUNDED,Nathan Snell,Person,b78a3e8e1fbfd8bed3f1::c0000,2023-08-25,Nathan Snell co-founder and CEO of Wilmington-based Raleon.,1.0,Raleon,Nathan Snell,raleon,nathan snell,fdcc62798ad39e7e1264dc77,0e8cb1e145496e1cf52ec867
o9 Solutions,Company,PARTNERED_WITH,Telangana Government,Company,41bcc9438630e1ac3cd8::c0000,2023-08-27,o9 Solutions Announces Hyderabad Office and Strategic Partnership With Telangana Government.,1.0,o9 Solutions,Telangana Government,o9 solutions,telangana government,098349719c431c0255ad6e14,c321a107a5b06c3bbc9a839d
Shipsy,Company,ACQUIRED,Stockone,Company,d4390fbeda5c6c8aee51::c0000,2023-10-26,Shipsy Completes Stockone Acquisition,1.0,Shipsy,Stockone,shipsy,stockone,766e95cd703d4ff19d3e90cc,eb093bd155e3a270fcf36edf
Squeeze,Company,ACQUIRED,Youtility,Company,e6fe754774c1e887b74f::c0000,2023-10-26,Youtility UK Fintech Switching Platform Acquired by Squeeze,1.0,Squeeze,Youtility,squeeze,youtility,01c0a1b8545f22f61ffe10fc,a84199b6b971ecec5242adb2
Christopher Kirchner,Person,WORKED_AT,Slync,Company,a173bd25c1a7d148ccb5::c0000,2023-10-27,co-founder and former CEO Christopher Kirchner,1.0,Christopher Kirchner,Slync,christopher kirchner,slync,9fed1582022a037a3cfb3d66,4af878a52d972da7f5af3015
Altitude Angel,Company,PARTNERED_WITH,Saab,Company,d4bf78236de2014d810a::c0000,2022-12-06,Altitude Angel and Saab to partner on Digital Tower technology,1.0,Altitude Angel,Saab,altitude angel,saab,2e871664a55405767161e9b0,0738888066e33393f6da488e
Pavion,Company,ACQUIRED,K&J Integrated Systems,Company,81c46f857ea3e5e7aca2::c0000,2023-07-18,Pavion Acquires K&J Integrated Systems.,1.0,Pavion,K&J Integrated Systems,pavion,k j integrated systems,7293212edb5d2cd24685b7b2,c695a0230c23b793b74fb7ae
L&T Technology Services,Company,PARTNERED_WITH,Airbus,Company,27eb86bc517fa9da3bea::c0000,2023-01-20,L&T Technology Services Selected as Strategic Engineering Partner to Airbus for Advanced Capabilities and Digital Manufacturing Services.,1.0,L&T Technology Services,Airbus,l t technology services,airbus,7b29988cfc0dac3059f47a0e,dedf70c7c77ff4cedbbb1625
Synechron,Company,PARTNERED_WITH,VisionGroup,Company,2b46329dfa395cdd1731::c0000,2023-07-12,Synechron and VisionGroup Partner to Leverage dataSense.,1.0,Synechron,VisionGroup,synechron,visiongroup,d3375cc1a631efa9976e8d53,373d890fb62f2b9835942939
Synechron,Company,DEVELOPED,dataSense,Technology,2b46329dfa395cdd1731::c0000,2023-07-12,Leverage dataSense. Enhanced Data Management Tool,1.0,Synechron,dataSense,synechron,datasense,d3375cc1a631efa9976e8d53,b8d7328656e25f2ac097dba8
Ceinsys Tech Ltd,Company,FOUNDED,25 Years,Technology,f83974ad32c352a2bc19::c0000,2023-07-10,celebrates 25 Years of Enhancing Possibilities,1.0,Ceinsys Tech Ltd,25 Years,ceinsys tech ltd,25 years,8f3d4914bf480bdc62e88d80,f26ecd2ab085a3da892738f8
Associated Press,Company,PARTNERED_WITH,OpenAI,Company,67f61078101e32548302::c0000,2023-07-13,AP Open AI agree to share select news content and technology,1.0,Associated Press,OpenAI,associated press,openai,0f1198d22cf1f786e4405a0d,773eeb9b7cc008bff365fcdd
General Motors,Company,ACQUIRED,information technology center,Technology,9ffda011e882d99077a4::c0000,2023-08-24,General Motors to close information technology center near Phoenix and eliminate 940 jobs.,1.0,General Motors,information technology center,general motors,information technology center,32527d480de677f91a8007c1,beeb62010459f1515a3f7bfa
MEF,Company,DEVELOPED,SASE Product and Services Certification,Technology,4a67a8e832498753f8f3::c0000,2023-10-03,16 Leading Technology and Service Providers Launch Industry's First SASE Product and Services Certification.,1.0,MEF,SASE Product and Services Certification,mef,sase product and services certification,ca5593fd5fb1f9231ea5306c,d589be9a51fbc1e780c86ca3
Senzary LLC,Company,FOUNDED,Eric Schummer,Person,1f966db1e28d1122c747::c0000,2023-01-24,we spoke with Eric Schummer the founder and CEO of Senzary LLC.,1.0,Senzary LLC,Eric Schummer,senzary llc,eric schummer,07f21a993871226abed12f9f,76a986b1ff8cfae54ce1c5a1
Aqara,Company,PARTNERED_WITH,Samsung,Company,3387461d5f34cf26d922::c0000,2023-10-05,Aqara's latest occupancy sensor has been working with Samsung to add the SmartThings compatibility.,1.0,Aqara,Samsung,aqara,samsung,8568cefc2b16b1699bc0d89f,7c006ebf3fc788f4d55aae68
stow Robotics,Company,PARTNERED_WITH,Phononic,Company,7a2aa73c4efd65b86ed3::c0000,2023-01-31,stow Robotics and cooling vendor Phononic partner on cold-chain fulfillment.,1.0,stow Robotics,Phononic,stow robotics,phononic,acc85be475b4809c2dc82a75,dec00e9cb5da179e31f18e39
Salesforce,Company,USES,Onfido,Technology,5d1b820633fed409a90e::c0000,2023-05-05,Salesforce is boosting its Know Your Customer (KYC) capabilities by integrating with Onfido.,1.0,Salesforce,Onfido,salesforce,onfido,60ade6527483bced1756d6c8,497908b040599586dea60d5c
Andrew Ellam,Person,WORKED_AT,Climate X,Company,3b246fb9ef650e580f3c::c0000,2023-01-17,Climate X a Climate Risk Data and Analytics Provider Appoints Andrew Ellam as VP of Technology.,1.0,Andrew Ellam,Climate X,andrew ellam,climate x,f012c5441b9142437c784c0e,380e4fd538b122a566ba9c4a
Juniper Networks,Company,PARTNERED_WITH,Deutsche Telekom,Company,3e7c45346a95726c2d85::c0000,2023-01-05,Juniper Networks Selected as Preferred Technology Partner for Deutsche Telekom’s Universal Managed Services Infrastructure.,1.0,Juniper Networks,Deutsche Telekom,juniper networks,deutsche telekom,3564887d6a1e4da53ae9c984,54d027f2dd69c8279492a2a3
Opsys Tech,Company,DEVELOPED,LiDAR-integrated Intelligent Automotive Taillight Solution,Technology,8b7cb645691ae062d526::c0000,2023-01-03,Opsys Tech to Display LiDAR-Integrated Intelligent Automotive Taillight Solution Co-Developed with South Korean Auto Supplier SL Corp.,1.0,Opsys Tech,LiDAR-integrated Intelligent Automotive Taillight Solution,opsys tech,lidar-integrated intelligent automotive taillight solution,1436a8eb4a4e8197fa650e48,638ba3c84220515ef920d372
Opsys Tech,Company,PARTNERED_WITH,SL Corp.,Company,8b7cb645691ae062d526::c0000,2023-01-03,co-Developed with South Korean Auto Supplier SL Corp.,1.0,Opsys Tech,SL Corp.,opsys tech,sl corp.,1436a8eb4a4e8197fa650e48,08d28fb94eb1a480efb496c3
Deloitte,Company,PARTNERED_WITH,ServiceNow,Company,eb746e73990fceb34bd5::c0000,2023-10-26,Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities.,1.0,Deloitte,ServiceNow,deloitte,servicenow,096a4c5d3ad45de076781004,cc9c6ee3857729e221d3f6de
Evernorth Health Services,Company,ACQUIRED,Bright.md,Technology,2e7b477d4cf02b299c80::c0000,2023-10-10,Evernorth Health Services Buys Bright.md Technology Platform.,1.0,Evernorth Health Services,Bright.md,evernorth health services,bright.md,b904c950dd62f87b87bb2154,5d313fe1300a14eeb70c2145
Costa Coffee,Company,PARTNERED_WITH,Vista Technology,Company,cee885efbfc10d2cc5b5::c0000,2023-09-29,Costa is thrilled to welcome Vista Technology as Costa Coffee's new retail stores break-fix provider.,1.0,Costa Coffee,Vista Technology,costa coffee,vista technology,83740a94a7378547547c1910,64c5fffd81c8dc2752d3d34c
L&T Technology Services,Company,PARTNERED_WITH,Palo Alto Networks,Company,227844974155bca2484d::c0000,2023-06-30,L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings.,1.0,L&T Technology Services,Palo Alto Networks,l t technology services,palo alto networks,7b29988cfc0dac3059f47a0e,f089ccb4331c2e40f24953f8
Ryan Specialty,Company,ACQUIRED,Socius Insurance Services,Company,331537d8f978a369b442::c0000,2023-05-23,Ryan Specialty has signed a definitive agreement to acquire Socius Insurance Services.,1.0,Ryan Specialty,Socius Insurance Services,ryan specialty,socius insurance services,defc363d0ec1319a2bbf9335,83b262183c78790168a7b94c
Samsung,Company,DEVELOPED,OLED display with embedded heart rate sensor,Technology,cf095df30bfa3f72399f::c0000,2023-05-23,Samsung unveils OLED display with embedded heart rate sensor.,1.0,Samsung,OLED display with embedded heart rate sensor,samsung,oled display with embedded heart rate sensor,7c006ebf3fc788f4d55aae68,58faf73275b336fd01dd49db
Abdullah bin Amer Alswaha,Person,LEADS,LEAP23,Company,527bd7b919297d10fe32::c0000,2023-02-06,Abdullah bin Amer Alswaha the Minister of Communications and Information Technology (MCIT) during a keynote address ...,1.0,Abdullah bin Amer Alswaha,LEAP23,abdullah bin amer alswaha,leap23,beef13514f7aabfc78bd2c59,9cc419a037c0384fa60130d6
SoftBank,Company,PARTNERED_WITH,Oasys,Company,a7921710420bc70a05c9::c0000,2023-02-16,Gaming Network Oasys Onboards Japan Conglomerate SoftBank as Network Validator.,1.0,SoftBank,Oasys,softbank,oasys,0cf2f2945e5f6dc338954501,3075ac5e2c6ffe143efd18bb
Truescope,Company,ACQUIRED,Universal Information Services,Company,6b2df96f0e83997db38c::c0000,2023-02-01,Truescope Acquires US Firm Universal Information Services.,1.0,Truescope,Universal Information Services,truescope,universal information services,76d30bd48e9692cec398f666,45f96e77e85bbef809c126ca
NTT Data Payment Services,Company,USES,Facctum anti-financial crime technology,Technology,6a641b4b841cad0b7d9f::c0000,2023-05-15,NTT Data Payment Services implements Facctum anti-financial crime technology.,1.0,NTT Data Payment Services,Facctum anti-financial crime technology,ntt data payment services,facctum anti-financial crime technology,acdfe7de2457e0c6f49245c1,a56c958a67582df270657a1b
Transact,Company,PARTNERED_WITH,Talkiatry,Company,55a09cbc43c41ffb2dd9::c0000,2023-09-05,The partnership will 'provide students with access to quality psychiatric services' Talkiatry said.,1.0,Transact,Talkiatry,transact,talkiatry,5bdf23135506d01440f0eb3d,2f1936a000dc9b182b3e913a
Doug Twitchell,Person,WORKED_AT,information security,Technology,a03933e5895da5c8ae9e::c0000,2023-04-03,Doug Twitchell has been researching and teaching in information security for 15 years.,1.0,Doug Twitchell,information security,doug twitchell,information security,8cb8374db7c95965c7dcb615,ad65837b5978788d74396508
Primoris Services,Company,LEADS,information technology,Technology,67aa550ef842c925d41b::c0000,2023-02-10,Haxton joined Primoris in 2019 as senior vice president of information technology to lead Primoris' digital strategy.,1.0,Primoris Services,information technology,primoris services,information technology,bd5b33ed6bfc28415450653e,cef46abaa90cf2c9774130e0
TOJOY Association for Science and Technology,Technology,PARTNERED_WITH,Beijing Association for Science and Technology,Company,8f32e649facfc0135211::c0000,2023-04-20,The association is comprised of scientific and tech workers within Chinese business accelerator TOJOY and the Beijing Association for Science and Technology's membership.,1.0,TOJOY Association for Science and Technology,Beijing Association for Science and Technology,tojoy association for science and technology,beijing association for science and technology,60930a60cb39a7685d883a45,0969b3c9eb710cb81035a3b4
NYMBUS,Company,DEVELOPED,financial technology,Technology,a7f48e655bc7a4f4464b::c0000,2023-05-04,NYMBUS® a premier provider of cutting-edge financial technology.,1.0,NYMBUS,financial technology,nymbus,financial technology,dd0cb292008f762e6c867f55,6766a8c3040b534e13b8412e
Syxsense,Company,PARTNERED_WITH,EVOTEK,Company,7212a4fa587f15b9216c::c0000,2023-04-21,Syxsense EVOTEK Partner to Make Endpoint Security Management Easier,1.0,Syxsense,EVOTEK,syxsense,evotek,11cc7c868fd7470c629d4783,b96ec75459056943f97e6e63
Omantel,Company,PARTNERED_WITH,Huawei,Company,bbc85d5c88e845ee4991::c0000,2023-04-07,Omantel and Huawei host Oman Huawei ICT Academies conference.,1.0,Omantel,Huawei,omantel,huawei,1e8a0559b04b74762f61edef,aff46c30e3bf1615c0109313
